case,candidate,planner_score,selected,oracle_envelope_rmse_db,oracle_formant_peak_error_hz,oracle_best
clean_small,PSOLA_raw,10.606035526014667,False,5.4486502243799215,10.908203125,False
clean_small,PSOLA_cep40,10.60984068169462,False,5.452230295175597,10.908203125,False
clean_small,PSOLA_lpc20,10.250171915303056,False,5.096380449777931,10.908203125,False
clean_small,SPECTRAL_raw,3.3448823766830063,False,3.4483936162588416,126.630859375,False
clean_small,SPECTRAL_cep40,0.1436023086200052,True,0.693272455219737,126.630859375,False
clean_small,SPECTRAL_lpc20,1.285394786680676,False,1.4041589272941348,71.455078125,True
clean_mid,PSOLA_raw,4.379393923461376,False,1.327173031054926,55.022786458333336,True
clean_mid,PSOLA_cep40,4.3509496933960055,False,1.3565879638651157,55.022786458333336,False
clean_mid,PSOLA_lpc20,4.355306427165412,False,1.3598938790634105,55.022786458333336,False
clean_mid,SPECTRAL_raw,7.381745530358015,False,7.408002058890932,66.49739583333333,False
clean_mid,SPECTRAL_cep40,1.4312355415193874,True,2.081952620403055,66.49739583333333,False
clean_mid,SPECTRAL_lpc20,2.839722548154385,False,3.6367183652917903,92.20703125,False
clean_large,PSOLA_raw,6.310672935630757,False,6.09730438815695,67.23958333333333,False
clean_large,PSOLA_cep40,6.314871337331891,False,6.101527913205418,67.23958333333333,False
clean_large,PSOLA_lpc20,6.7170277422920694,False,6.550588467272126,67.23958333333333,False
clean_large,SPECTRAL_raw,8.642449078850369,False,8.402883316211344,177.38932291666666,False
clean_large,SPECTRAL_cep40,2.685391388498152,True,2.5299177142238993,126.68294270833333,True
clean_large,SPECTRAL_lpc20,4.6264420860798,False,4.490763391992459,177.38932291666666,False
breathy_small,PSOLA_raw,11.662202870335491,False,10.060065679845232,102.03450520833333,False
breathy_small,PSOLA_cep40,6.640436819208935,False,5.123176356334525,102.03450520833333,False
breathy_small,PSOLA_lpc20,11.133003170799341,False,9.554181739071842,102.03450520833333,False
breathy_small,SPECTRAL_raw,1.5638014308544634,False,0.7864261328880341,163.35611979166666,False
breathy_small,SPECTRAL_cep40,1.0465884768122815,True,0.5644726893742517,163.35611979166666,True
breathy_small,SPECTRAL_lpc20,3.5004492222469055,False,2.3008454529820654,163.35611979166666,False
breathy_large,PSOLA_raw,10.33632114749026,False,8.484580158970402,61.920572916666664,False
breathy_large,PSOLA_cep40,6.27846878479334,False,4.4673508854851045,61.920572916666664,True
breathy_large,PSOLA_lpc20,10.001299415685365,False,8.15876510430586,61.920572916666664,False
breathy_large,SPECTRAL_raw,2.0344885079975707,False,1.284503572606086,169.755859375,False
breathy_large,SPECTRAL_cep40,0.04760984394400826,True,0.5256573774630285,225.36458333333334,False
breathy_large,SPECTRAL_lpc20,7.188774709255666,False,5.809388473234892,225.36458333333334,False
transient_mid,PSOLA_raw,13.816993511771239,False,10.308135332633316,60.768229166666664,False
transient_mid,PSOLA_cep40,7.862191835139184,False,5.286373652129783,60.768229166666664,False
transient_mid,PSOLA_lpc20,13.138052048696332,False,9.998829104069594,60.768229166666664,False
transient_mid,SPECTRAL_raw,1.4901633841552586,False,1.1924429103430516,117.72786458333333,False
transient_mid,SPECTRAL_cep40,0.4276056195302067,True,0.7470901262862389,117.72786458333333,True
transient_mid,SPECTRAL_lpc20,3.632458125808496,False,3.3053617168790463,138.20963541666666,False
transient_large,PSOLA_raw,7.6852610882889625,False,7.703648199804844,65.64778645833333,False
transient_large,PSOLA_cep40,5.138408473753211,False,2.029047849262632,65.64778645833333,True
transient_large,PSOLA_lpc20,8.164522858457811,False,8.05583069352607,65.64778645833333,False
transient_large,SPECTRAL_raw,2.4875661375465583,False,1.7387034148810117,129.02994791666666,False
transient_large,SPECTRAL_cep40,1.2314814314162557,True,0.6472528387589105,129.02994791666666,False
transient_large,SPECTRAL_lpc20,7.147073021756017,False,6.709377586171499,129.02994791666666,False
high_f0,PSOLA_raw,14.068442326356967,False,14.714602640931952,45.244140625,False
high_f0,PSOLA_cep40,9.812884960332353,False,10.629124013417858,45.244140625,False
high_f0,PSOLA_lpc20,14.039834937372486,False,14.707538914905733,45.48828125,False
high_f0,SPECTRAL_raw,1.4565959292921016,False,1.4119592326510069,58.990885416666664,False
high_f0,SPECTRAL_cep40,0.10439133365294666,True,1.173010276986864,58.990885416666664,True
high_f0,SPECTRAL_lpc20,4.170453548852026,False,4.407981948515608,58.990885416666664,False
