vowel,f0_hz,semitones,method,oracle_spectral_envelope_rmse_db,mean_formant_peak_error_hz
a,120.0,-5,PSOLA_baseline,1.9361582437703868,5.693359375
a,120.0,-5,phase_vocoder_baseline,7.753699143390413,214.43359375
a,120.0,5,PSOLA_baseline,20.340871525127884,30.882161458333332
a,120.0,5,phase_vocoder_baseline,14.151702793172722,136.25651041666666
a,120.0,12,PSOLA_baseline,0.20185448838883874,65.751953125
a,120.0,12,phase_vocoder_baseline,23.72465452516317,204.71354166666666
a,220.0,-5,PSOLA_baseline,23.0395697221564,23.665364583333332
a,220.0,-5,phase_vocoder_baseline,12.840974752001877,138.41145833333334
a,220.0,5,PSOLA_baseline,36.413928939386956,28.538411458333332
a,220.0,5,phase_vocoder_baseline,24.764529665020465,203.15104166666666
a,220.0,12,PSOLA_baseline,37.43795337424596,160.91471354166666
a,220.0,12,phase_vocoder_baseline,30.014980875185756,235.23111979166666
i,120.0,-5,PSOLA_baseline,2.1432388809921123,9.254557291666666
i,120.0,-5,phase_vocoder_baseline,7.203583816901343,120.0390625
i,120.0,5,PSOLA_baseline,20.36645901514844,32.880859375
i,120.0,5,phase_vocoder_baseline,13.416813099377604,144.30989583333334
i,120.0,12,PSOLA_baseline,0.18334443021322538,85.29622395833333
i,120.0,12,phase_vocoder_baseline,24.930558673809802,139.23828125
i,220.0,-5,PSOLA_baseline,23.09521225775974,44.580078125
i,220.0,-5,phase_vocoder_baseline,12.524716165202722,72.24283854166667
i,220.0,5,PSOLA_baseline,36.662069635868995,20.41015625
i,220.0,5,phase_vocoder_baseline,24.31306952044404,104.90234375
i,220.0,12,PSOLA_baseline,36.78712986339653,85.0390625
i,220.0,12,phase_vocoder_baseline,31.681912771671627,114.580078125
u,120.0,-5,PSOLA_baseline,2.172030874140385,11.936848958333334
u,120.0,-5,phase_vocoder_baseline,7.1943614477696105,195.74869791666666
u,120.0,5,PSOLA_baseline,20.43437079373366,45.924479166666664
u,120.0,5,phase_vocoder_baseline,13.596498425457805,172.90364583333334
u,120.0,12,PSOLA_baseline,0.17933227650241995,78.15104166666667
u,120.0,12,phase_vocoder_baseline,22.904789991557916,236.71549479166666
u,220.0,-5,PSOLA_baseline,23.04204797276207,35.426432291666664
u,220.0,-5,phase_vocoder_baseline,12.89238923751648,122.26236979166667
u,220.0,5,PSOLA_baseline,36.74111183724772,29.886067708333332
u,220.0,5,phase_vocoder_baseline,24.652449167329376,167.28841145833334
u,220.0,12,PSOLA_baseline,36.39965514526309,38.795572916666664
u,220.0,12,phase_vocoder_baseline,30.16493528060873,121.96940104166667
